Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL
Mittagong Greeny Flat shows eco-living made easy,http://www.abc.net.au/local/photos/2014/05/26/4012255.htm,26/05/14,http://www.abc.net.au/reslib/201405/r1280295_17329764.jpg,Andy Lemann in front of his environmentally sustainable Greeny Flat in Mittagong.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Electricity Energy and Utilities, Environment:Alternative Energy:Solar Energy, Science and Technology:Energy",ABC Illawarra NSW,NSW,Mittagong,"greeny flat, andy lemann, mittagong, energy, building, efficiency, housing, southern highlands, abc illawarra, justin huntsdale",-34.4516,150.4445,http://www.abc.net.au/local/photos/2014/05/26/4012255-mediarss.xml
"Endometriosis sufferers speak out, want others to understand severity of condition",http://www.abc.net.au/local/photos/2014/12/11/4146911.htm,11/12/14,http://www.abc.net.au/reslib/201412/r1367677_19269362.jpg,Wollongong drama and singing teacher Anna Chaplin has formed a support group for women living with endometriosis - a painful disease affecting the uterus.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Health:Women's Health,",ABC Illawarra NSW,NSW,Wollongong,"endometriosis, anna chaplin, disease, women, health, uterus, pain, medicine, surgery, abc illawarra",-34.4263,150.8927,http://www.abc.net.au/local/photos/2014/12/11/4146911-mediarss.xml
Summer rain brings hope to western Queensland farmers,http://www.abc.net.au/local/photos/2014/12/30/4155749.htm,30/12/14,http://www.abc.net.au/reslib/201412/r1373322_19390815.jpg,"Talk to a farmer and they'll be quick to remind you a few inches of rain won't put the prolonged drought to an end. But recent rain has seen green 'pick' spread throughout western Queensland and, in some cases, dry creek beds are running for the first time in years.",Copyright: AAP | Source: Used with permission | Byline: Marie Bright,"Disasters and Accidents:Drought, Environment, Rural, Weather",ABC Southern Queensland,QLD,Surat,"drought, rain, creek, dry, surat, queensland, water,",-27.1545,149.0669,http://www.abc.net.au/local/photos/2014/12/30/4155749-mediarss.xml
Woodford Folk Festival broadcast: a variety show on steroids,http://www.abc.net.au/local/photos/2014/12/19/4152082.htm,19/12/14,http://www.abc.net.au/reslib/201412/r1370779_19334240.jpg,"Mary-Lou Stephens says the broadcast will be ""the place to be; we have a really good mix and a really good flow.""",Copyright: ABC | Source: ABC | Byline: Jess Hinchliffe,"Arts and Entertainment:Events:Carnivals and Festivals, Community and Society:Community and Multicultural Festivals,",ABC Sunshine & Cooloola Coasts Qld,QLD,Woodford,"Woodford Folk Festival, Mary-Lou Stephens, ABC broadcast, New year's eve, Rob Blackmore, Kylie Auldist,",-26.9556,152.778,http://www.abc.net.au/local/photos/2014/12/19/4152082-mediarss.xml
Bargara celebrates with happy new beer,http://www.abc.net.au/local/photos/2014/12/30/4155716.htm,30/12/14,http://www.abc.net.au/reslib/201412/r1373272_19389690.JPG,"Alex Pretorius, Jack Millbank and Tim Hill are all smiles at the launch of their new brewery.",Copyright: ABC | Source: ABC Wide Bay | Byline: Ross Kay,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Industry:Food and Beverage, Business, Economics and Finance:Industry:Tourism",ABC Wide Bay Qld,QLD,Bargara,"news, beer, bargara brewing company, bundaberg, tourism, craft beer",-24.8163,152.4615,http://www.abc.net.au/local/photos/2014/12/30/4155716-mediarss.xml
The Big Fish Saturday the 27th of December,http://www.abc.net.au/local/photos/2014/12/27/4154881.htm,27/12/14,http://www.abc.net.au/reslib/201412/r1372716_19377525.jpg,Mud Monster and Stinker,Copyright: ABC | Source: ABC Local | Byline: Stinker,"Lifestyle and Leisure,",ABC Central Coast NSW - The Big Fish,NSW,Gosford,"podcast, the big fish,",-33.4246,151.3441,http://www.abc.net.au/local/photos/2014/12/27/4154881-mediarss.xml
Long-time Christmas light display dazzles Port Lincoln,http://www.abc.net.au/local/photos/2014/12/04/4142098.htm,4/12/14,http://www.abc.net.au/reslib/201412/r1364555_19203796.jpg,"Port Lincoln photographer Robert Lang took an picture for Desmond Voumard of his festive display. Posted on social media, 'Christmas on Feltus Street, Port Lincoln SA' has racked up hundreds of 'likes'.",Copyright: ABC | Source: Used with permission | Byline: Contributor - Robert Lang,"Community and Society, Human Interest, Human Interest:People,",ABC West Coast SA,SA,Port Lincoln,"Port Lincoln, Feltus street, Des, Demond and Lorrain Voumard, Eyre Peninsula, Chrismtas lights, festiva, display, story, collection, santa",-34.7282,135.8733,http://www.abc.net.au/local/photos/2014/12/04/4142098-mediarss.xml
Seafood's the catch of the day for Christmas in the tropics,http://www.abc.net.au/local/photos/2014/12/24/4154367.htm,24/12/14,http://www.abc.net.au/reslib/201412/r1372380_19369947.jpg,"Mackay Fish Market manager David Caracciolo says the mud crab season is just starting now, and they have been busy sending crabs to Melbourne and Sydney.",Copyright: ABC | Source: | Byline: Sophie Kesteven,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Trade, Community and Society:Regional",ABC Tropical Queensland,QLD,Mackay,"christmas, seafood, mackay, fish market, prawns, feast",-21.155,149.1664,http://www.abc.net.au/local/photos/2014/12/24/4154367-mediarss.xml
"Friday Rewind – Beauty contests, bathing and boxing on the river",http://www.abc.net.au/local/photos/2014/12/24/4154332.htm,24/12/14,http://www.abc.net.au/reslib/201412/r1372351_19369238.jpg,The lasses line up for an old-fashioned beauty contest at the Nelson Aquatic Carnival in 1950.,Copyright: Audience submitted | Source: Mount Gambier Library | Byline: Les hill Collection,"Community and Society:History, Human Interest,",ABC South East SA,SA,Mount Gambier,"holidays, history, south east, mount gambier, nelson, camping, christmas, new years, fishing, donovans, les hill collection, mount gambier library",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/12/24/4154332-mediarss.xml
Have you heard the word of the tiny herd?,http://www.abc.net.au/local/photos/2014/12/24/4154315.htm,24/12/14,http://www.abc.net.au/reslib/201412/r1372326_19368591.JPG,"Teddy the pony wonders if the camera is lunch. Fiona has 10 Shetland ponies on her property at Mt Maria, near Agnes Water.",Copyright: ABC | Source: ABC Wide Bay | Byline: Ross Kay,"Human Interest, Human Interest:Animals, Human Interest:People,",ABC Wide Bay Qld,QLD,Mount Maria,"news, fiona toplis, bundaberg, agnes water, mt maria, discovery coast, shetland pony, ponies, little horses, queensland",-24.5333,151.8167,http://www.abc.net.au/local/photos/2014/12/24/4154315-mediarss.xml
Stable on the Strand tells the story of Bethlehem by the beach,http://www.abc.net.au/local/photos/2014/12/24/4154240.htm,24/12/14,http://www.abc.net.au/reslib/201412/r1372278_19367582.jpg,"A young girl talks with the inn keeper who has no rooms available and is unable to accomodate the pregnant Mary and her husband Joseph. ""We think it's extremely important kids these days know why we really celebrate Christmas, the birth of Jesus Christ,"" said organiser Richard Hosking. ""We have a generation of kids in Townsville, because we've been going for 13 years, who know that there's more to Christmas then Santa Claus.""",Copyright: ABC | Source: ABC Local | Byline: Kathleen Calderwood,"Community and Society:Community and Multicultural Festivals, Community and Society:Community Organisations, Community and Society:Family and Children:Babies - Newborns, Community and Society:Family and Children:Children",ABC North Qld,QLD,Townsville,"Bethlehem, Jerusalem, Christmas, Jesus, Christ, baby, shepherds, wise men, roman guards, religion, christianity, community, children, education",-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/12/24/4154240-mediarss.xml
Port Lincoln foreshore splashed with racehorse history,http://www.abc.net.au/local/photos/2014/12/22/4153423.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371661_19352955.jpg,"Just after 7am, trainer Darryl Carrison arrives at the Port Lincoln foreshore to take two horses for a dip in Boston Bay",Copyright: ABC | Source: ABC | Byline: Eloise Fuss,"Community and Society, Community and Society:History, Human Interest, Human Interest:Animals",ABC West Coast SA,SA,Port Lincoln,"Darryl Carrison, Port Lincoln, foreshore, racehorse, racehorses, history, Boston Bay, swimming, summer, animals, Eyre Peninsula, horse racing",-34.7282,135.8733,http://www.abc.net.au/local/photos/2014/12/22/4153423-mediarss.xml
Melbourne Storm’s Kurt Mann home in outback Queensland for Christmas,http://www.abc.net.au/local/photos/2014/12/24/4154237.htm,24/12/14,http://www.abc.net.au/reslib/201412/r1372267_19367061.JPG,"Melbourne Storm player Kurt Mann at home in Longreach with his sister Brooke, his mum Jane and his girlfriend Antoinette.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Community and Society:Family and Children, Human Interest:People, Sport:Rugby League:NRL,",ABC Western Queensland,QLD,Longreach,"kurt mann, melbourne storm, nrl, national rugby league, 2014, jane dickson, joel mann, winton devils, christmas, family, blythe moore, abc western queensland",-23.4445,144.2475,http://www.abc.net.au/local/photos/2014/12/24/4154237-mediarss.xml
Christmas care packages give cheer to drought-stricken western Queensland,http://www.abc.net.au/local/photos/2014/12/23/4153996.htm,23/12/14,http://www.abc.net.au/reslib/201412/r1372113_19364423.JPG,Catholic priest Matthew Moloney with freight company owner Jenny Wyton and Longreach Rotary member Ed Warren.,Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Community and Society:Charities and Community Organisations, Disasters and Accidents:Drought, Human Interest:People, Rural",ABC Western Queensland,QLD,Longreach,"jenny wyton, ed warren, father matthew moloney, mount isa care packages, longreach rotary, St Brigid's Catholic Parish in Longreach, longreach freight, care packages, christmas ham, donations, drought, drought stricken properties, blythe moore, abc western queensland, rural report, country hour,",-23.4445,144.2475,http://www.abc.net.au/local/photos/2014/12/23/4153996-mediarss.xml
ABC South East on air and online for 2015,http://www.abc.net.au/local/photos/2014/12/24/4154244.htm,24/12/14,http://www.abc.net.au/reslib/201412/r1372271_19367196.jpg,All your favourite ABC South East programs will be back in 2015.,Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Information and Communication, Information and Communication:Broadcasting:ABC, Information and Communication:Broadcasting,",ABC South East SA,SA,Mount Gambier,"abc south east, on air, 1476, 1161, radio, online, on air, stan thomson, stuart stansfield, rebekah lowe, mount gambier, south east, limestone coast",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/12/24/4154244-mediarss.xml
And then there was one: Broken Hill and the outback pools,http://www.abc.net.au/local/photos/2014/12/22/4153280.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371415_19347478.JPG,Alma pool in 1963.,Copyright: ABC | Source: ABC Local | Byline: Supplied,"Environment:Water,",ABC Broken Hill,NSW,Broken Hill,"aquatic centre, broken hill, pool, summer, jason jones, peter black",-31.958038,141.465138,http://www.abc.net.au/local/photos/2014/12/22/4153280-mediarss.xml
Wide angle: A photo road trip around the South East,http://www.abc.net.au/local/photos/2014/12/23/4153836.htm,23/12/14,http://www.abc.net.au/reslib/201412/r1371974_19360221.jpg,The trek up the steep road to Mount Gambier's Centenary Tower is worth the reward.,Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Arts and Entertainment:Photography, Human Interest, Lifestyle and Leisure:Travel and Tourism, Rural",ABC South East SA,SA,Mount Gambier,"landscape, photo, photography, south east, mount gambier, naracoorte, abc south east, sa limestone coast, tourism, robe, keith, kingston, apsley, coonawarra, penola",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/12/23/4153836-mediarss.xml
Backyard wildlife provides inspiration for budding photographers,http://www.abc.net.au/local/photos/2014/12/23/4153716.htm,23/12/14,http://www.abc.net.au/reslib/201412/r1371884_19357967.jpg,Catherine Willett won the secondary category with this macro image.,Copyright: Audience submitted | Source: Museum of Tropical Queensland | Byline: Catherine Willett,"Arts and Entertainment:Photography, Community and Society:Youth, Education:Primary, Education:Secondary",ABC North Qld,QLD,Townsville,nature backyard north Queensland safari animals bugs insects birds photography competition exhibition,-19.2643,146.8118,http://www.abc.net.au/local/photos/2014/12/23/4153716-mediarss.xml
The happy hermit: wishing you a very lonely Christmas,http://www.abc.net.au/local/photos/2014/12/19/4152435.htm,19/12/14,http://www.abc.net.au/reslib/201412/r1370999_19339186.jpg,"Barry lives a simple life, squatting in an abandoned house in the West Kimberley. (15/12/14)",Copyright: ABC | Source: ABC Local | Byline: Ben Collins,"Lifestyle and Leisure:Lifestyle,",ABC Kimberley WA,WA,Waterbank,hermit christmas kimberley bush lonely barry broome,-17.7833,122.2333,http://www.abc.net.au/local/photos/2014/12/19/4152435-mediarss.xml
Remembering the Newcastle Earthquake 25 years on,http://www.abc.net.au/local/photos/2014/12/23/4153765.htm,23/12/14,http://www.abc.net.au/reslib/201412/r1371910_19358646.jpg,"A then-and-now photo blend of the Hamilton Ambulance station after the earthquake, and in 2014.",Copyright: ABC | Source: ABC and Newcastle Museum | Byline: Robert Virtue / supplied from Newcastle Museum,"Community and Society, Community and Society:History, Disasters and Accidents, Disasters and Accidents:Earthquake",ABC Newcastle NSW,NSW,Newcastle,"1233 ABC Newcastle, ABC, Newcastle, New South Wales, NSW, Australia, Hunter, city, urban, community, life, people, ABC Upper Hunter, Robert Virtue, Newcastle Earthquake, 25th anniversary, natural disaster, death, injury, Hamilton, Beaumont Street, rescue, recovery, 1989, December 28, Newcastle Workers Club, buildings, collapse, rubble, 2014, people, bodies, killed, photos, photography, Newcastle Museum",-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/12/23/4153765-mediarss.xml
Beard lover compensates lack of growth by raising funds for cancer sufferers,http://www.abc.net.au/local/photos/2014/12/22/4153135.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371480_19348897.jpg,The beardless Alicia Aberley and the well-groomed members of Sunshine Coast band The Dawn Chorus.,Copyright: ABC | Source: Empire Art Photography | Byline: contributed,"Community and Society:Charities and Community Organisations, Health, Health:Diseases and Disorders:Cancer,",ABC Sunshine & Cooloola Coasts Qld,QLD,Palmwoods,"Beard Man Bonanza, Cancer Council Queensland, Beard150, Alicia Aberley,",-26.6874,152.9603,http://www.abc.net.au/local/photos/2014/12/22/4153135-mediarss.xml
The summer pilgrimage of fruit picking backpackers,http://www.abc.net.au/local/photos/2014/12/11/4146623.htm,11/12/14,http://www.abc.net.au/news/image/6001236-16x9-700x394.jpg,Orange cherry pickers,Copyright: ABC | Source: | Byline: Robert Virtue: ABC Local,"Community and Society, Community and Society:Work, Rural:Agricultural Crops, Rural:Agricultural Crops:Fruit",ABC Central West NSW,NSW,Orange,"Cherry, cherries, orchard, fruit, apples, backpackers, pickers, picking, tourists, people, international, Orange, NSW, New South Wales, 2014, December, central west, ABC Central West, ABC, Australia, vineyards, produce, food, rural, Robert Virtue, Caernarvon Cherry Company, Mehdi Rouabah, France, Bernard Hall",-33.2846,149.0988,http://www.abc.net.au/local/photos/2014/12/11/4146623-mediarss.xml
In photos: the end of an era with rail line set to be cut,http://www.abc.net.au/local/photos/2014/12/22/4153418.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371676_19353280.jpg,On December 26th 2014 – Boxing Day – it's planned the Newcastle rail line will be ripped-up.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Business, Economics and Finance, Business, Economics and Finance:Industry, Business, Economics and Finance:Industry:Rail Transport, Government and Politics:States and Territories",ABC Newcastle NSW,NSW,Newcastle,"1233 ABC Newcastle, ABC, Newcastle, New South Wales, NSW, Australia, Hunter, city, urban, community, life, people, ABC Upper Hunter, Robert Virtue, railway, transport, passengers, city, revitalisation, development, 2014, December, history, people, society, Hamilton, State Government, Wickham, Newcastle, light rail",-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/12/22/4153418-mediarss.xml
Ancient 'Instagram' shows historical snapshot of Queensland,http://www.abc.net.au/local/photos/2014/12/22/4153368.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371647_19352732.jpg,This image of Bundaberg in 1891 shows the post office and School of Arts buildings.,Copyright: ABC | Source: Supplied | Byline: Used with permission,"Arts and Entertainment, Arts and Entertainment:Art History, Arts and Entertainment:Visual Art,",ABC Wide Bay Qld,QLD,Bundaberg,"news, bundaberg, watercolours, bundaberg regional art gallery",-24.8683,152.3459,http://www.abc.net.au/local/photos/2014/12/22/4153368-mediarss.xml
Kalgoorlie's best Christmas lights displays,http://www.abc.net.au/local/photos/2014/12/22/4153246.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371522_19350024.JPG,Mr Elf and Madison enjoy the snow in front of their Christmas lights display on Jarvis Street in Hannans.,Copyright: ABC | Source: ABC Goldfields | Byline: Rebecca Brewin,"Community and Society,",ABC Goldfields WA,WA,Kalgoorlie,Kalgoorlie Boulder Goldfields Christmas Lights Decorations Display Festive Season Best lights,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/12/22/4153246-mediarss.xml
Boxing program keeps Indigenous youth off the street,http://www.abc.net.au/local/photos/2014/12/17/4150286.htm,17/12/14,http://www.abc.net.au/reslib/201412/r1369713_19310935.jpg,Darumbal Community Youth Services' boxers with coach Wade Goltz (far right).,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Youth, Health:Adolescent Health, Health",ABC Capricornia,QLD,Rockhampton,"Darumbal Community Youth Service, boxing, Wade Goltz, Nyoka Fetoa'i",-23.3782,150.5106,http://www.abc.net.au/local/photos/2014/12/17/4150286-mediarss.xml
12 Queenslanders you should know: John Lever,http://www.abc.net.au/local/photos/2014/12/17/4150496.htm,17/12/14,http://www.abc.net.au/reslib/201412/r1370156_19320549.jpg,Crocodile farmer John Lever with the future of his business in his hands. A mature female crocodile can produce as many as 40 eggs in one breeding season.,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Human Interest, Rural:Sustainable and Alternative Farming,",ABC Capricornia,QLD,Coowonga,"12 Queenslanders you should know, Koorana Crocodile Farm, crocodile farmer John Lever, Northern Territory, Wild Egg Harvesting",-23.3,150.7167,http://www.abc.net.au/local/photos/2014/12/17/4150496-mediarss.xml
Christmas spirit lives on for outback Queensland family despite drought,http://www.abc.net.au/local/photos/2014/12/17/4150730.htm,17/12/14,http://www.abc.net.au/reslib/201412/r1369973_19316990.JPG,"James Walker and his wife Manny with their three children Sophia, Chloe and baby James at the entrance to their cattle property.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Disasters and Accidents:Drought, Human Interest:People, Rural,",ABC Western Queensland,QLD,Longreach,"james walker, manny walker, christmas tree, camden park, hay, destocking, longreach, drought, blythe moore, abc western queensland, abc rural,",-23.4445,144.2475,http://www.abc.net.au/local/photos/2014/12/17/4150730-mediarss.xml
Who is Santa Claus?,http://www.abc.net.au/local/photos/2014/12/22/4153199.htm,22/12/14,http://www.abc.net.au/reslib/201412/r1371535_19350332.jpg,Mark Harvey has taken on the role of Santa Claus for the past 36 years and says he loves helping children enjoy Christmas.,Copyright: ABC | Source: | Byline: Sophie Kesteven,"Arts and Entertainment, Community and Society:Carers, Community and Society:Work, Event",ABC Tropical Queensland,QLD,Mackay,"santa claus, mackay, santa, christmas, festive",-21.155,149.1664,http://www.abc.net.au/local/photos/2014/12/22/4153199-mediarss.xml
Fourth expansion slated for Mount Gambier Prison,http://www.abc.net.au/local/photos/2014/12/22/4153059.htm,22/12/14,http://www.abc.net.au/reslib/201405/r1277801_17275943.jpg,"A fourth expansion has been slated for Mount Gambier Prison, in the state's South East.",Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Law, Crime and Justice, Law, Crime and Justice:Prisons and Punishment,",ABC South East SA,SA,Mount Gambier,"prison, G4S, mount gambier, port augusta, correctional services, tony piccolo, budget, state government, south australia, south east, prisoners",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/12/22/4153059-mediarss.xml
Christmas lights up Bunbury,http://www.abc.net.au/local/photos/2014/12/19/4152540.htm,19/12/14,http://www.abc.net.au/reslib/201412/r1370976_19338678.jpg,The treats start at the gingerbread house. The display raises money for cancer treatment,Copyright: ABC | Source: ABC Local | Byline: SK,"Human Interest:People, Community and Society:Religion and Beliefs:Christianity,",ABC South West WA,WA,Bunbury,"southwest, christmas, lights,",-33.3267,115.6347,http://www.abc.net.au/local/photos/2014/12/19/4152540-mediarss.xml
